symbol,price,price_change,price_percent_change
American Rebel Holdings Inc. (AREB),19.5,15.54,392.42
Antelope Enterprise Holdings Ltd. (AEHL),4.25,2.15,102.38
Local Bounti Corp. (LOCL),4.75,1.93,68.44
SOBR Safe Inc. (SOBR),4.93,1.46,42.03
Forward Industries Inc. (FORD),6.8,1.88,38.21
iCoreConnect Inc. (ICCT),5.71,1.48,34.99
NetClass Technology Inc. Cl A (NTCL),9.31,2.31,33.0
Regencell Bioscience Holdings Ltd. (RGC),32.21,7.91,32.55
NeOnc Technologies Holdings Inc. (NTHI),12.56,2.98,31.11
PAMT Corp. (PAMT),13.58,2.47,22.23
Auddia Inc. (AUUD),4.9,0.89,22.19
Innventure Inc. (INV),4.82,0.85,21.41
Universe Pharmaceuticals Inc. (UPC),3.45,0.57,19.79
Alumis Inc. (ALMS),10.05,1.51,17.68
USA Rare Earth Inc. (USAR),7.55,1.05,16.15
Lion Group Holding Ltd. ADR (LGHL),3.62,0.47,14.92
Victoria's Secret & Co. (VSCO),16.95,2.08,13.99
NextTrip Inc. (NTRP),5.99,0.67,12.59
BriaCell Therapeutics Corp. (BCTX),3.94,0.44,12.57
Epsium Enterprise Ltd. (EPSM),5.92,0.65,12.33
Algorhythm Holdings Inc. (RIME),2.51,0.27,12.05
Novavax Inc. (NVAX),6.24,0.64,11.43
C3is Inc. (CISS),3.86,0.4,11.4
GameStop Corp. Cl A (GME),23.49,2.39,11.33
Rocket Cos. Inc. (RKT),15.4,1.55,11.19
Cloudastructure Inc. Cl A (CSAI),4.93,0.48,10.79
Hovnanian Enterprises Inc. Cl A (HOV),104.37,10.0,10.6
Waton Financial Ltd. (WTF),6.46,0.6,10.24
Arhaus Inc. (ARHS),7.75,0.69,9.77
Guess? Inc. (GES),11.02,0.98,9.76
zSpace Inc. (ZSPC),8.79,0.75,9.33
Blaize Holdings Inc. (BZAI),2.23,0.19,9.31
Elicio Therapeutics Inc. (ELTX),6.01,0.51,9.27
LogProstyle Inc. (LGPS),3.9,0.33,9.24
Foghorn Therapeutics Inc. (FHTX),3.44,0.29,9.21
Journey Medical Corp. (DERM),7.19,0.6,9.1
Bluejay Diagnostics Inc. (BJDX),3.53,0.28,8.62
Landsea Homes Corp. (LSEA),6.25,0.48,8.32
Savers Value Village Inc. (SVV),7.68,0.57,8.02
