,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,GME,GameStop Corp.,,23.49 +2.39 (+11.33%),2.39,+11.33%,19.722M,9.165M,10.502B,71.18,116.90%,
1,RKT,"Rocket Companies, Inc.",,15.40 +1.55 (+11.19%),1.55,+11.19%,35.468M,7.361M,30.604B,73.33,11.27%,
2,GAP,"The Gap, Inc.",,19.13 +1.29 (+7.23%),1.29,+7.23%,20.741M,8.043M,7.172B,8.70,-18.53%,
3,BLD,TopBuild Corp.,,303.09 +18.87 (+6.64%),18.87,+6.64%,904506,343867,8.864B,14.95,-30.73%,
4,IBP,"Installed Building Products, Inc.",,173.25 +9.46 (+5.78%),9.46,+5.78%,784025,393759,4.809B,19.04,-32.28%,
5,ONON,On Holding AG,,39.61 +1.96 (+5.21%),1.96,+5.21%,20.421M,4.985M,12.827B,47.15,21.61%,
6,DFH,"Dream Finders Homes, Inc.",,22.40 +1.09 (+5.11%),1.09,+5.11%,1.018M,461614,2.093B,6.71,-46.78%,
7,DECK,Deckers Outdoor Corporation,,106.02 +5.14 (+5.10%),5.14,+5.10%,8.407M,3.37M,16.091B,17.21,-28.43%,
8,CROX,"Crocs, Inc.",,100.65 +4.68 (+4.88%),4.68,+4.88%,4.697M,1.819M,5.642B,6.34,-24.17%,
9,AEO,"American Eagle Outfitters, Inc.",,10.94 +0.50 (+4.79%),0.5,+4.79%,14.846M,5.98M,1.887B,6.51,-55.20%,
10,TFII,TFI International Inc.,,79.46 +3.61 (+4.76%),3.61,+4.76%,1.168M,481267,6.761B,16.02,-50.49%,
11,MHO,"M/I Homes, Inc.",,114.29 +5.19 (+4.76%),5.19,+4.76%,509931,311478,3.099B,5.80,-8.77%,
12,DHI,"D.R. Horton, Inc.",,127.87 +5.56 (+4.55%),5.56,+4.55%,9.115M,3.768M,41.024B,9.05,-18.42%,
13,CCS,"Century Communities, Inc.",,65.70 +2.77 (+4.40%),2.77,+4.40%,479404,471745,2.014B,6.32,-25.23%,
14,ANF,Abercrombie & Fitch Co.,,73.33 +3.07 (+4.37%),3.07,+4.37%,4.916M,2.559M,3.584B,6.86,-38.59%,
15,NVR,"NVR, Inc.",,"7,410.93 +300.94 (+4.23%)",300.94,+4.23%,41761,27565,22.003B,14.62,-5.85%,
16,MSTR,Strategy Incorporated,,293.61 +11.33 (+4.01%),11.33,+4.01%,24.847M,18.232M,76.473B,-,94.06%,
17,W,Wayfair Inc.,,26.05 +0.96 (+3.83%),0.96,+3.83%,18.814M,4.835M,3.307B,-,-60.15%,
18,MTH,Meritage Homes Corporation,,69.14 +2.53 (+3.80%),2.53,+3.80%,1.927M,958380,4.962B,6.45,-15.15%,
19,TPH,"Tri Pointe Homes, Inc.",,31.82 +1.16 (+3.78%),1.16,+3.78%,1.565M,976231,2.919B,6.59,-14.25%,
20,PHM,"PulteGroup, Inc.",,101.24 +3.49 (+3.57%),3.49,+3.57%,3.513M,2.336M,20.408B,6.89,-12.00%,
21,GRBK,"Green Brick Partners, Inc.",,57.83 +1.94 (+3.47%),1.94,+3.47%,553841,319313,2.573B,6.84,-0.53%,
22,KBH,KB Home,,57.54 +1.93 (+3.47%),1.93,+3.47%,1.785M,1.563M,4.126B,7.03,-13.41%,
23,BLDR,"Builders FirstSource, Inc.",,123.96 +4.14 (+3.46%),4.14,+3.46%,2.899M,1.733M,14.084B,13.68,-38.17%,
24,PCVX,"Vaxcyte, Inc.",,31.60 +1.04 (+3.40%),1.04,+3.40%,5.702M,1.686M,4.069B,-,-50.69%,
25,PVH,PVH Corp.,,67.72 +2.11 (+3.22%),2.11,+3.22%,3.294M,1.334M,3.565B,6.41,-38.06%,
26,TMHC,Taylor Morrison Home Corporation,,59.42 +1.83 (+3.18%),1.83,+3.18%,1.506M,1.095M,6.045B,7.19,0.80%,
27,LULU,lululemon athletica inc.,,263.70 +8.05 (+3.15%),8.05,+3.15%,8.371M,2.167M,31.812B,18.01,-26.84%,
28,URBN,"Urban Outfitters, Inc.",,46.61 +1.37 (+3.03%),1.37,+3.03%,5.683M,2.153M,4.319B,10.94,17.38%,
29,NKE,"NIKE, Inc.",,57.25 +1.67 (+3.00%),1.67,+3.00%,67.655M,16.797M,84.5B,19.02,-36.39%,
