symbol,price,price_change,price_percent_change
GME,23.49,2.39,11.33
RKT,15.4,1.55,11.19
GAP,19.13,1.29,7.23
BLD,303.09,18.87,6.64
IBP,173.25,9.46,5.78
ONON,39.61,1.96,5.21
DFH,22.4,1.09,5.11
DECK,106.02,5.14,5.1
CROX,100.65,4.68,4.88
AEO,10.94,0.5,4.79
TFII,79.46,3.61,4.76
MHO,114.29,5.19,4.76
DHI,127.87,5.56,4.55
CCS,65.7,2.77,4.4
ANF,73.33,3.07,4.37
NVR,7410.93,300.94,4.23
MSTR,293.61,11.33,4.01
W,26.05,0.96,3.83
MTH,69.14,2.53,3.8
TPH,31.82,1.16,3.78
PHM,101.24,3.49,3.57
GRBK,57.83,1.94,3.47
KBH,57.54,1.93,3.47
BLDR,123.96,4.14,3.46
PCVX,31.6,1.04,3.4
PVH,67.72,2.11,3.22
TMHC,59.42,1.83,3.18
LULU,263.7,8.05,3.15
URBN,46.61,1.37,3.03
NKE,57.25,1.67,3.0
